venda_id,venda_data,venda_hora,loja_id,produto_id,qtd_vendida,valor_unitario
53,2024-04-11,15:25,4,25,5,33.83
54,2024-03-07,11:40,3,10,3,5.1
55,2024-04-28,15:54,5,18,3,14.5
56,2024-02-23,15:17,1,22,10,26.97
57,2024-04-07,12:50,3,16,7,25.76
58,2024-07-31,15:14,3,3,5,44.5
59,2024-04-17,09:18,1,5,10,27.62
60,2024-02-22,17:39,3,23,10,21.87
61,2024-05-19,12:41,5,21,4,12.62
62,2024-08-18,08:49,2,2,5,25.73
63,2024-06-18,15:58,2,12,8,38.06
64,2024-02-08,15:03,4,2,6,28.93
65,2024-03-31,15:04,2,20,5,19.19
66,2024-05-13,09:19,4,7,4,4.75
67,2024-03-09,17:26,5,18,6,19.88
68,2024-01-04,16:17,3,25,4,5.81
69,2024-08-11,11:54,1,15,3,12.87
70,2024-04-29,18:37,1,20,10,26.56
71,2024-07-29,13:24,3,4,10,16.24
72,2024-01-12,10:49,3,25,2,3.36
73,2024-05-09,13:49,3,24,7,4.77
74,2024-08-17,15:17,4,7,9,22.52
75,2024-07-24,12:20,2,2,5,25.53
76,2024-04-21,15:41,3,10,5,22.99
77,2024-07-28,16:03,4,15,2,39.67
78,2024-07-16,14:58,3,18,8,32.19
79,2024-06-29,13:55,2,7,1,26.7
80,2024-05-08,18:32,1,20,9,35.86
81,2024-03-10,18:38,3,1,7,23.02
82,2024-07-24,17:02,2,19,9,23.06
83,2024-05-12,14:24,5,22,4,40.75
84,2024-04-02,12:32,5,18,2,20.91
85,2024-05-18,17:49,2,13,2,3.97
86,2024-08-16,09:22,4,21,6,35.72
87,2024-01-17,13:57,1,9,6,25.97
88,2024-01-03,13:21,4,15,5,43.91
89,2024-03-08,18:03,2,24,2,28.14
90,2024-08-19,18:51,1,10,3,5.86
91,2024-05-18,09:37,1,16,2,42.55
92,2024-03-31,18:41,1,1,5,39.04
93,2024-05-01,11:42,1,20,9,15.83
94,2024-05-06,12:47,4,3,4,42.74
95,2024-02-04,11:58,2,7,1,32.99
96,2024-01-13,11:35,2,14,8,35.23
97,2024-01-19,13:24,5,19,1,27.21
98,2024-03-17,08:21,4,5,3,8.13
99,2024-06-10,08:32,5,22,6,22.17
100,2024-07-30,14:09,3,3,6,10.76
101,2024-06-16,10:01,2,5,10,35.96
102,2024-06-23,13:44,2,6,1,7.33
103,2024-05-12,15:35,4,25,1,27.61
104,2024-02-06,08:36,2,23,6,28.84
105,2024-03-19,13:34,2,14,3,22.03
106,2024-03-16,14:23,5,11,10,20.73
107,2024-01-13,16:13,3,8,5,15.39
108,2024-03-05,13:41,4,2,4,10.77
109,2024-08-18,11:53,1,9,6,10.73
110,2024-07-08,15:50,3,20,3,39.38
111,2024-01-11,12:42,4,3,4,14.92
112,2024-06-30,10:38,2,6,3,29.78
113,2024-01-21,09:45,5,1,6,17.11
114,2024-08-30,11:32,4,8,6,34.27
115,2024-06-09,11:22,1,9,1,36.34
116,2024-08-29,08:56,4,25,8,10.57
117,2024-03-06,09:14,2,7,3,21.88
118,2024-06-17,17:46,3,19,1,30.38
119,2024-02-01,12:37,1,10,1,32.46
120,2024-08-11,14:53,5,2,5,11.07
121,2024-04-06,10:23,1,6,10,23.45
122,2024-01-22,17:32,4,10,10,19.21
123,2024-04-27,09:59,2,17,7,10.43
124,2024-07-10,09:23,3,23,6,39.52
125,2024-03-08,12:25,2,11,10,10.65
126,2024-03-03,11:07,1,3,4,29.98
127,2024-02-23,11:41,3,1,2,42.63
128,2024-06-25,13:43,3,22,9,22.4
129,2024-05-23,16:52,5,11,4,42.33
130,2024-06-04,16:15,5,16,1,11.31
131,2024-08-14,09:07,3,14,1,29.87
132,2024-02-13,17:41,1,2,8,24.98
133,2024-07-12,17:25,4,8,5,23.83
134,2024-03-09,16:59,3,13,10,20.76
135,2024-04-20,08:48,4,25,6,41.75
136,2024-02-26,14:34,3,17,1,12.8
137,2024-04-04,13:44,5,25,3,10.58
138,2024-07-15,09:58,4,4,6,42.77
139,2024-03-31,10:46,4,7,6,7.37
140,2024-08-08,16:06,3,12,4,16.53
141,2024-07-29,17:53,5,11,10,26.59
142,2024-02-16,17:49,3,23,8,19.5
143,2024-06-02,12:51,2,7,10,17.69
144,2024-01-16,10:19,1,23,2,31.72
145,2024-06-10,18:53,3,16,8,22.59
146,2024-05-20,15:00,1,18,5,22.16
147,2024-06-09,08:26,4,16,9,8.66
148,2024-07-15,08:08,2,1,8,32.87
149,2024-01-28,18:01,3,2,5,26.59
150,2024-05-08,18:58,2,4,9,25.87
151,2024-02-19,14:58,2,22,7,40.31
152,2024-02-17,09:25,5,15,7,42.47
153,2024-05-21,11:11,2,13,9,29.9
154,2024-03-24,13:25,2,23,3,37.48
155,2024-02-10,10:45,3,15,1,19.99
156,2024-03-09,15:03,5,15,10,23.4
157,2024-07-29,08:54,5,20,6,15.92
158,2024-08-26,17:25,1,7,1,38.36
159,2024-03-20,16:33,3,18,1,14.89
160,2024-08-30,15:12,4,13,6,45.0
161,2024-01-30,18:23,3,21,10,10.4
162,2024-08-13,14:07,1,5,2,23.61
163,2024-07-07,12:05,4,14,3,6.8
164,2024-06-24,16:39,5,20,1,16.27
165,2024-07-24,18:21,2,21,7,37.53
166,2024-01-16,12:47,4,12,6,27.95
167,2024-08-22,14:26,2,18,7,6.95
168,2024-01-07,09:04,1,19,9,31.87
169,2024-02-22,14:18,3,25,2,6.6
170,2024-06-27,09:33,1,14,8,19.84
171,2024-06-27,16:51,3,18,6,21.62
172,2024-07-26,16:55,3,14,10,16.04
173,2024-01-03,16:24,4,20,6,28.52
174,2024-07-11,18:26,3,25,4,21.82
175,2024-02-18,11:06,3,4,5,23.88
176,2024-05-17,10:46,4,8,3,20.51
177,2024-07-17,16:21,3,17,5,35.04
178,2024-07-09,10:52,2,8,2,4.34
179,2024-02-14,12:58,1,11,2,39.24
180,2024-08-30,17:42,5,6,9,40.85
181,2024-06-05,15:50,5,21,2,19.86
182,2024-06-27,11:38,3,3,5,3.7
183,2024-03-30,11:32,3,16,7,28.45
184,2024-05-31,16:29,4,25,5,43.82
185,2024-03-01,11:48,1,14,7,17.61
186,2024-01-04,11:15,4,14,2,32.53
187,2024-05-30,11:32,5,12,5,19.77
188,2024-03-13,09:45,2,25,9,33.14
189,2024-07-06,16:03,1,10,6,5.65
190,2024-05-28,15:58,2,7,10,19.45
191,2024-02-14,08:24,2,20,9,13.53
192,2024-02-20,17:25,1,20,1,29.02
193,2024-06-23,15:08,4,23,2,21.83
194,2024-07-07,08:29,5,2,1,44.14
195,2024-06-03,08:18,4,7,6,6.98
196,2024-07-19,17:06,4,20,3,10.12
197,2024-04-03,12:52,3,20,6,30.29
198,2024-03-28,09:42,5,25,10,3.58
199,2024-07-26,16:45,1,22,4,41.45
200,2024-02-08,14:30,5,12,7,41.46
201,2024-07-29,08:48,2,8,6,15.09
202,2024-08-17,12:24,3,1,2,22.14
203,2024-03-26,16:21,2,4,5,23.45
204,2024-05-13,12:00,1,23,6,43.56
205,2024-07-26,09:43,2,13,7,20.6
206,2024-05-12,12:36,2,3,4,39.95
207,2024-08-11,08:46,2,8,3,9.78
208,2024-01-21,15:06,4,3,1,31.19
209,2024-02-29,16:19,5,18,2,43.24
210,2024-06-03,13:01,5,15,1,16.71
211,2024-05-23,08:59,3,18,4,36.95
212,2024-02-09,12:32,5,16,3,43.51
213,2024-02-04,17:12,3,21,9,12.36
214,2024-02-04,16:16,5,13,3,5.66
215,2024-07-11,12:43,3,10,9,40.5
216,2024-05-24,14:57,2,23,6,10.19
217,2024-03-02,18:49,2,23,5,16.8
218,2024-01-16,16:41,4,5,1,33.95
219,2024-06-10,18:08,2,4,10,18.26
220,2024-05-31,13:46,2,3,2,43.63
221,2024-06-09,08:51,5,14,5,14.45
222,2024-03-02,16:47,5,10,2,15.41
223,2024-02-05,08:26,1,12,7,7.03
224,2024-03-29,17:31,1,1,2,35.99
225,2024-02-02,08:05,2,10,8,42.56
226,2024-02-06,18:53,3,13,4,38.44
227,2024-01-07,13:18,3,22,7,29.9
228,2024-07-15,14:44,2,16,10,27.43
229,2024-04-06,18:02,5,23,6,3.75
230,2024-03-02,12:09,5,14,5,14.12
231,2024-07-21,11:47,2,5,10,42.08
232,2024-06-17,16:47,4,1,6,20.1
233,2024-08-13,14:49,4,1,5,10.24
234,2024-06-22,08:56,5,17,9,15.51
235,2024-07-04,16:38,4,23,1,29.08
236,2024-01-19,12:41,4,4,2,30.07
237,2024-01-13,14:31,5,11,7,13.23
238,2024-05-19,09:24,3,18,8,11.07
239,2024-06-21,13:52,3,4,9,13.81
240,2024-02-14,12:42,5,24,5,38.59
241,2024-05-22,13:12,2,22,10,42.61
242,2024-02-11,14:50,1,18,3,34.29
243,2024-03-05,12:25,1,15,2,5.04
244,2024-04-18,12:54,3,1,6,25.72
245,2024-06-15,17:38,1,18,6,9.22
246,2024-06-28,13:21,4,11,4,9.87
247,2024-03-26,15:20,5,6,9,10.35
248,2024-06-30,15:21,2,12,3,34.75
249,2024-02-01,13:40,1,12,3,12.59
250,2024-02-25,09:51,1,9,9,20.65
251,2024-03-12,09:10,3,1,6,16.64
252,2024-06-15,13:31,1,23,10,16.33
253,2024-07-23,18:26,4,19,10,3.84
254,2024-03-27,09:12,4,9,5,20.91
255,2024-06-25,12:19,4,14,3,32.96
256,2024-04-02,08:25,3,2,6,10.03
257,2024-01-01,13:10,3,2,7,8.97
258,2024-08-05,18:06,3,14,8,33.54
259,2024-02-17,14:54,5,3,10,2.66
260,2024-07-13,18:03,3,23,6,31.53
261,2024-05-14,17:38,2,5,8,38.35
262,2024-07-25,13:41,2,22,8,42.82
263,2024-04-20,12:09,1,25,3,18.56
264,2024-03-06,10:11,4,20,8,31.13
265,2024-05-21,10:13,1,7,2,36.53
266,2024-07-05,14:56,2,2,2,16.71
267,2024-07-01,08:14,2,11,8,3.39
268,2024-04-04,13:37,3,10,5,29.15
269,2024-01-03,09:48,2,15,9,14.96
270,2024-01-31,08:05,3,19,7,8.87
271,2024-01-05,17:24,1,12,4,25.91
272,2024-02-26,16:06,5,4,4,17.81
273,2024-03-08,09:49,4,3,7,28.06
274,2024-03-22,12:42,5,3,5,30.49
275,2024-06-29,13:05,2,12,5,32.41
276,2024-03-19,15:52,2,15,4,20.16
277,2024-04-23,17:37,3,13,7,12.84
278,2024-04-18,14:54,3,19,10,33.9
279,2024-05-20,11:54,4,25,7,7.94
280,2024-08-22,08:43,5,7,10,7.52
281,2024-08-01,12:20,1,4,8,29.79
282,2024-01-01,10:25,2,8,1,11.63
283,2024-05-08,10:37,2,3,7,13.66
284,2024-03-27,13:31,4,5,3,7.47
285,2024-07-01,18:01,4,2,3,38.61
286,2024-02-07,11:38,5,11,6,17.37
287,2024-05-10,09:26,2,17,4,4.08
288,2024-04-13,11:48,1,19,1,40.33
289,2024-02-04,14:34,1,17,4,18.53
290,2024-07-23,16:11,3,5,9,5.42
291,2024-05-14,12:08,4,24,3,36.37
292,2024-01-22,09:15,3,2,5,32.5
293,2024-05-22,11:22,2,2,7,23.85
294,2024-03-05,10:01,1,11,2,26.38
295,2024-04-23,18:34,5,14,9,34.87
296,2024-04-12,13:08,1,11,9,34.36
297,2024-01-07,10:23,5,15,4,38.65
298,2024-05-12,09:25,2,5,5,17.03
299,2024-07-11,17:54,4,9,9,33.53
300,2024-03-05,11:06,1,12,4,25.82
301,2024-04-25,13:05,3,7,7,31.01
302,2024-08-29,08:10,5,15,7,20.95
303,2024-07-21,09:51,1,14,8,6.79
304,2024-01-29,17:07,2,24,10,39.63
305,2024-08-06,10:13,2,20,3,44.45
306,2024-04-10,12:58,5,2,9,20.54
307,2024-03-25,09:55,2,12,9,8.27
308,2024-04-05,10:29,1,7,9,31.79
309,2024-06-19,15:49,1,15,4,35.24
310,2024-03-02,17:18,1,4,1,31.67
311,2024-07-22,16:21,1,13,1,3.68
312,2024-04-27,08:28,5,8,10,26.57
313,2024-08-15,12:57,4,5,1,21.65
314,2024-03-19,13:47,1,23,9,37.48
315,2024-04-22,13:12,5,1,5,5.19
316,2024-01-16,11:59,2,10,6,5.75
317,2024-03-04,11:01,2,6,5,9.6
318,2024-04-13,09:06,3,15,5,25.73
319,2024-08-30,10:15,1,1,4,24.58
320,2024-06-03,10:01,2,15,1,5.48
321,2024-08-20,08:49,5,10,6,13.87
322,2024-04-24,16:23,2,5,2,23.17
323,2024-07-12,12:03,3,20,7,6.86
324,2024-03-28,18:51,5,23,2,22.84
325,2024-07-30,16:57,5,5,2,4.07
326,2024-01-20,17:51,4,12,2,33.89
327,2024-01-16,17:01,3,13,4,21.49
328,2024-07-11,14:10,2,20,2,34.21
329,2024-02-05,14:50,2,24,8,22.58
330,2024-01-01,17:59,2,12,10,23.59
331,2024-03-01,14:07,3,17,8,6.4
332,2024-05-24,12:03,3,7,3,32.43
333,2024-04-21,09:56,3,17,8,6.19
334,2024-03-28,17:47,2,10,1,13.7
335,2024-01-03,13:43,1,19,1,28.44
336,2024-04-13,16:04,2,3,2,25.63
337,2024-08-27,15:42,2,12,4,23.38
338,2024-03-21,08:43,1,9,8,6.11
339,2024-08-09,13:50,4,14,10,7.52
340,2024-07-04,16:08,2,14,4,13.21
341,2024-06-01,12:08,5,9,10,4.01
342,2024-04-24,08:06,5,19,1,42.32
343,2024-08-04,18:08,5,13,7,42.01
344,2024-02-11,16:49,3,14,9,18.37
345,2024-05-26,09:28,4,9,9,35.82
346,2024-01-21,16:35,1,6,6,43.61
347,2024-08-31,12:51,1,22,1,4.21
348,2024-08-14,09:38,1,25,1,3.42
349,2024-06-18,08:17,2,11,2,5.08
350,2024-08-14,08:52,3,6,4,7.63
351,2024-04-18,08:30,4,18,5,28.87
352,2024-05-06,18:58,3,17,4,9.95
353,2024-06-03,08:18,2,19,6,3.16
354,2024-06-11,09:39,5,24,1,36.88
355,2024-08-03,12:29,1,3,10,42.45
356,2024-03-19,12:34,5,8,10,16.09
357,2024-05-19,12:48,2,12,4,4.65
358,2024-03-12,13:03,5,19,4,26.64
359,2024-01-30,12:29,1,12,5,7.07
360,2024-04-06,09:33,3,19,9,16.92
361,2024-06-18,10:17,5,23,5,14.96
362,2024-07-13,17:05,3,16,2,41.92
363,2024-01-08,14:24,5,15,6,34.63
364,2024-02-02,14:36,3,6,5,16.59
365,2024-02-01,13:50,4,3,4,6.45
366,2024-07-20,15:16,2,1,2,20.32
367,2024-03-21,13:36,4,10,5,28.68
368,2024-01-28,16:30,4,20,8,14.95
369,2024-07-23,17:53,2,25,5,2.67
370,2024-01-25,13:03,1,17,3,41.48
371,2024-08-04,09:39,2,23,4,33.66
372,2024-01-20,18:38,5,8,8,39.95
373,2024-01-20,14:16,2,19,5,12.63
374,2024-08-22,16:01,4,18,4,9.1
375,2024-07-12,09:40,4,5,10,20.51
376,2024-03-08,16:30,1,24,9,19.4
377,2024-08-27,13:10,5,7,9,23.75
378,2024-06-06,15:11,2,11,1,44.15
379,2024-05-07,12:25,1,12,4,26.54
380,2024-08-30,08:19,5,10,3,43.79
381,2024-03-27,08:08,4,24,4,21.6
382,2024-01-06,12:23,5,21,1,34.88
383,2024-04-29,08:24,4,21,10,35.78
384,2024-05-23,15:03,5,9,10,7.25
385,2024-03-03,18:29,4,4,2,7.28
386,2024-08-13,11:07,2,10,9,36.1
387,2024-03-11,16:13,2,10,9,37.63
388,2024-01-12,14:37,2,20,5,24.47
389,2024-04-29,17:15,3,9,9,10.23
390,2024-04-01,08:04,2,7,8,4.02
391,2024-05-25,10:59,4,16,4,9.1
392,2024-06-10,14:28,4,16,6,36.46
393,2024-08-19,18:00,2,22,6,14.03
394,2024-02-29,14:38,4,12,9,14.01
395,2024-05-23,12:53,3,17,4,25.42
396,2024-08-21,13:22,2,18,2,28.16
397,2024-05-28,10:53,2,5,4,41.98
398,2024-06-10,09:47,1,13,6,16.61
399,2024-06-24,11:37,4,10,10,32.26
400,2024-06-06,10:58,5,17,2,30.15
401,2024-05-29,13:57,4,22,3,2.78
402,2024-03-25,08:28,3,11,6,13.32
403,2024-03-24,08:34,5,23,9,16.52
404,2024-01-14,08:04,4,22,10,38.62
405,2024-01-31,09:18,1,23,10,42.02
406,2024-03-08,12:49,3,12,4,18.27
407,2024-03-12,12:47,4,15,4,4.24
408,2024-03-06,18:59,3,15,1,15.82
409,2024-02-17,17:15,3,7,1,37.82
410,2024-08-15,18:44,5,5,7,7.2
411,2024-08-25,10:20,1,23,2,29.76
412,2024-02-28,14:51,2,13,7,36.95
413,2024-08-12,17:27,4,3,6,17.51
414,2024-08-08,16:44,4,13,5,42.79
415,2024-07-31,11:13,3,2,3,37.79
416,2024-02-22,18:22,2,14,3,36.08
417,2024-03-07,13:07,5,14,4,14.08
418,2024-08-26,15:49,4,25,8,9.24
419,2024-07-18,11:49,4,13,9,34.65
420,2024-08-25,11:56,4,19,8,4.78
421,2024-07-27,10:33,1,4,4,29.22
422,2024-03-03,18:07,3,13,7,39.36
423,2024-02-16,12:38,4,8,6,11.96
424,2024-04-28,16:30,1,24,10,28.71
425,2024-08-07,17:27,4,19,9,25.85
426,2024-03-18,12:17,2,2,6,16.35
427,2024-08-15,16:43,3,8,9,35.34
428,2024-05-26,15:44,2,13,10,33.02
429,2024-06-04,09:52,3,9,10,16.57
430,2024-02-03,12:04,4,11,5,14.97
431,2024-02-24,12:04,3,17,7,2.69
432,2024-07-05,13:25,1,16,8,2.64
433,2024-02-01,10:14,2,3,4,8.14
434,2024-08-19,14:04,1,10,7,16.25
435,2024-06-17,16:34,2,9,10,7.18
436,2024-03-11,08:47,5,9,1,15.08
437,2024-06-03,12:13,1,2,2,22.83
438,2024-05-26,18:37,5,1,1,35.79
439,2024-05-01,13:51,1,13,2,7.23
440,2024-05-05,08:07,5,10,1,31.23
441,2024-06-22,08:05,5,16,5,29.74
442,2024-01-09,14:22,1,12,4,12.36
443,2024-05-21,17:31,1,1,5,33.61
444,2024-01-12,17:04,3,2,10,42.36
445,2024-03-15,16:40,2,12,10,31.35
446,2024-08-30,16:47,1,9,3,14.64
447,2024-06-22,18:16,4,16,6,31.42
448,2024-02-21,09:06,2,17,9,44.52
449,2024-03-13,17:57,4,24,2,41.02
450,2024-05-20,13:13,2,13,8,36.97
451,2024-04-22,11:19,3,8,6,7.67
452,2024-01-11,17:50,3,9,2,36.5
453,2024-06-16,14:27,5,7,8,42.19
454,2024-07-29,12:02,2,17,3,10.42
455,2024-06-01,09:06,5,5,6,22.0
456,2024-07-19,13:57,3,7,6,13.38
457,2024-06-14,18:51,1,22,3,29.21
458,2024-02-25,17:01,4,13,6,19.21
459,2024-01-31,12:16,4,11,3,17.64
460,2024-01-09,13:21,4,18,5,26.94
461,2024-01-26,08:27,2,21,6,12.25
462,2024-08-01,09:36,3,16,2,31.12
463,2024-02-10,15:40,5,5,10,6.35
464,2024-02-23,11:22,3,5,8,28.4
465,2024-08-16,08:50,5,5,7,12.82
466,2024-02-10,09:52,2,9,10,22.74
467,2024-03-13,12:57,4,13,5,40.86
468,2024-08-06,08:29,1,24,5,25.69
469,2024-08-04,11:50,3,13,3,36.63
470,2024-01-17,18:52,1,13,3,18.3
471,2024-08-14,16:06,3,20,10,4.92
472,2024-01-18,10:19,4,7,3,41.55
473,2024-07-17,13:51,2,6,8,3.4
474,2024-04-10,09:43,1,7,10,24.61
475,2024-04-25,09:48,3,23,8,30.08
476,2024-06-01,08:34,3,3,8,26.82
477,2024-02-03,13:18,1,5,4,20.04
478,2024-08-30,14:09,3,14,3,20.35
479,2024-08-15,12:05,2,15,6,38.17
480,2024-08-11,09:10,2,9,5,29.65
481,2024-04-18,11:27,3,7,2,17.98
482,2024-01-16,13:54,3,22,5,13.6
483,2024-08-29,15:55,4,24,7,42.05
484,2024-05-30,14:00,4,8,7,39.59
485,2024-07-30,12:45,4,9,4,44.6
486,2024-08-26,18:48,2,5,9,4.31
487,2024-01-23,11:38,1,7,7,44.57
488,2024-01-23,13:22,3,12,5,20.96
489,2024-04-24,17:04,1,6,2,43.85
490,2024-08-16,14:08,5,4,9,26.73
491,2024-03-25,09:00,1,14,4,17.31
492,2024-03-20,18:26,2,22,10,39.05
493,2024-08-09,18:03,3,19,4,29.47
494,2024-08-03,13:25,5,21,4,34.67
495,2024-07-21,09:18,1,4,6,33.44
496,2024-06-05,14:01,1,25,4,17.37
497,2024-05-22,16:42,4,13,10,16.16
498,2024-05-22,09:28,1,15,6,7.26
499,2024-06-14,13:17,1,5,8,32.55
500,2024-07-28,11:12,3,19,3,35.01
501,2024-08-14,11:36,5,18,2,35.29
502,2024-08-09,15:58,3,13,4,20.81
503,2024-07-21,14:26,5,6,9,19.41
504,2024-02-29,09:32,3,4,2,13.08
505,2024-04-30,10:01,3,21,4,18.38
506,2024-07-12,08:00,1,2,10,4.44
507,2024-06-05,08:03,5,1,10,9.12
508,2024-07-10,10:51,2,5,3,12.1
509,2024-07-20,14:34,3,9,6,35.11
510,2024-05-27,11:50,4,11,9,41.62
511,2024-04-11,10:01,3,20,6,10.21
512,2024-03-06,16:51,5,24,6,30.29
513,2024-07-13,10:54,5,1,7,11.96
514,2024-04-05,08:51,3,5,5,14.84
515,2024-07-08,16:54,2,1,10,18.92
516,2024-01-31,16:23,3,5,7,16.57
517,2024-08-26,16:12,3,25,6,26.37
518,2024-02-02,15:54,1,8,4,27.05
519,2024-08-08,11:40,3,21,2,43.92
520,2024-07-31,10:23,3,16,9,33.12
521,2024-05-28,10:54,5,2,9,39.2
522,2024-06-02,12:44,2,16,10,7.39
523,2024-02-11,09:02,5,10,3,39.75
524,2024-03-27,10:05,3,19,10,43.79
525,2024-01-26,10:57,1,4,3,26.65
526,2024-02-02,08:14,4,11,8,12.6
527,2024-08-14,12:35,5,12,3,24.55
528,2024-06-02,16:50,3,25,7,5.21
529,2024-05-23,10:59,5,6,5,37.09
530,2024-02-23,14:23,2,3,8,40.84
531,2024-06-10,13:05,2,1,9,20.06
532,2024-04-16,17:00,3,14,4,6.46
533,2024-01-01,18:36,3,7,10,44.56
534,2024-05-31,09:39,2,13,3,37.87
535,2024-06-29,08:12,2,20,9,8.92
536,2024-05-14,15:22,4,16,2,21.88
537,2024-08-17,08:36,1,18,9,13.54
538,2024-06-13,18:58,4,4,1,28.17
539,2024-07-26,09:26,2,17,9,28.61
540,2024-05-04,16:20,3,6,2,15.56
541,2024-05-01,18:55,1,14,5,16.64
542,2024-07-29,09:30,3,4,1,32.68
543,2024-06-05,08:37,5,7,3,23.34
544,2024-08-03,14:33,2,17,8,8.93
545,2024-03-28,08:53,3,20,4,30.77
546,2024-07-03,12:16,2,1,7,6.39
547,2024-06-16,15:26,1,20,10,24.14
548,2024-01-05,09:40,5,20,6,27.24
549,2024-01-22,13:44,5,12,9,9.55
550,2024-07-31,15:08,1,15,6,27.05
551,2024-07-30,12:04,1,13,8,7.14
552,2024-04-15,16:07,4,13,4,31.26
553,2024-06-20,10:27,5,21,4,6.36
554,2024-01-11,11:03,2,14,6,26.46
555,2024-06-23,11:28,1,21,9,14.18
556,2024-01-19,11:13,4,22,1,7.2
557,2024-08-19,10:45,4,10,8,25.77
558,2024-03-07,13:51,1,16,10,7.83
559,2024-08-05,08:11,4,17,10,19.74
560,2024-02-09,14:44,2,12,9,6.79
561,2024-01-04,16:27,3,4,2,42.49
562,2024-06-13,08:35,3,16,5,21.01
563,2024-05-09,18:50,3,10,7,6.78
564,2024-07-28,14:13,5,10,9,38.83
565,2024-01-07,16:15,1,9,10,24.52
566,2024-08-17,14:27,1,8,10,44.48
567,2024-08-26,15:31,1,11,10,34.63
568,2024-05-24,09:56,2,21,10,9.81
569,2024-05-25,10:35,1,14,2,4.95
570,2024-03-21,09:05,1,5,10,12.23
571,2024-08-19,12:32,2,15,4,14.75
572,2024-05-24,08:39,1,22,8,42.23
573,2024-04-22,15:37,2,13,1,34.18
574,2024-01-02,12:12,4,2,6,7.61
575,2024-01-21,11:17,2,25,8,33.31
576,2024-04-20,15:11,4,17,9,17.7
577,2024-01-07,17:41,1,16,5,24.55
578,2024-06-12,08:18,3,14,6,36.31
579,2024-01-12,09:48,3,14,6,31.08
580,2024-07-18,09:42,1,8,6,25.61
581,2024-01-03,08:19,5,6,4,16.4
582,2024-06-05,14:16,2,14,6,12.58
583,2024-01-04,09:28,4,18,3,9.55
584,2024-07-10,11:58,1,17,7,41.31
585,2024-03-13,12:16,3,13,5,8.05
586,2024-06-02,16:21,5,22,5,33.84
587,2024-02-07,14:10,3,8,10,11.93
588,2024-01-24,09:22,4,7,6,33.04
589,2024-05-04,16:16,5,18,5,26.69
590,2024-08-04,08:27,3,9,2,11.63
591,2024-04-21,08:04,4,18,1,20.36
592,2024-02-08,16:14,1,24,7,30.34
593,2024-06-17,09:40,2,18,7,10.25
594,2024-06-22,16:20,1,22,9,4.38
595,2024-02-03,12:30,2,20,6,34.87
596,2024-03-20,18:40,1,8,5,25.94
597,2024-06-21,15:26,2,18,1,25.63
598,2024-07-02,09:13,5,24,2,25.12
599,2024-06-12,10:39,2,24,8,6.14
600,2024-02-05,08:25,4,6,9,12.18
601,2024-05-29,13:40,4,16,4,13.75
602,2024-01-21,13:04,4,7,5,32.78
603,2024-05-05,10:25,1,4,2,7.33
604,2024-08-04,11:36,2,2,8,10.86
605,2024-01-02,13:51,4,13,3,39.34
